Replica;Transect;Number;Intercept;Width;Height;Stems
I;1;1;2.68;1.53;1.70;19
I;1;2;2.34;0.87;0.83;6
I;1;3;1.93;0.79;1.10;9
I;1;4;0.53;0.78;1.04;5
I;1;5;0.50;1.85;1.41;17
I;1;6;0.24;1.45;0.65;28
I;1;7;0.43;0.48;0.28;23
I;1;8;0.13;0.52;0.42;19
I;1;9;0.19;0.22;0.24;4
I;1;10;0.43;0.38;0.42;24
I;1;11;0.74;0.59;0.31;16
I;1;12;0.72;0.20;0.34;4
I;1;13;0.39;0.42;0.29;14
I;1;14;0.40;1.02;0.66;26
I;1;15;0.40;0.97;0.90;26
I;1;16;;0.56;0.51;12
I;1;17;;0.62;0.26;22
I;1;18;;0.42;0.48;5
I;2;1;1.90;1.12;1.20;37
I;2;2;2.63;0.87;0.80;11
I;2;3;0.60;0.57;0.40;19
I;2;4;0.80;0.97;0.65;30
I;2;5;0.40;0.57;0.50;9
I;2;6;1.82;1.97;1.35;61
I;2;7;0.94;0.58;0.93;16
I;2;8;0.50;2.54;1.20;31
I;2;9;1.50;1.85;0.95;46
I;2;10;0.39;0.35;0.33;19
I;2;11;1.18;1.24;0.96;19
I;2;12;1.68;1.80;1.46;67
I;2;13;0.78;0.78;0.80;27
I;2;14;0.69;0.98;1.07;18
I;2;15;0.84;1.30;1.47;16
I;2;16;1.00;1.55;0.96;21
I;2;17;1.04;1.69;1.05;39
I;2;18;1.77;2.12;1.43;69
I;2;19;1.14;1.27;1.15;26
I;2;20;0.28;0.75;0.72;10
I;2;21;0.43;1.01;1.22;22
I;2;22;;1.82;1.15;33
I;3;1;0.20;0.71;0.50;21
I;3;2;2.46;1.50;1.20;74
I;3;3;2.68;1.82;1.93;28
I;3;4;;1.86;1.32;30
I;3;5;;1.61;0.72;18
I;3;6;;1.21;1.20;37
II;1;1;0.52;0.67;0.68;9
II;1;2;0.16;0.31;0.26;4
II;1;3;0.95;0.83;0.70;16
II;1;4;0.59;1.95;1.20;44
II;1;5;1.12;1.36;1.36;30
II;1;6;0.62;1.45;1.19;11
II;1;7;0.44;0.72;0.58;15
II;1;8;0.56;1.15;0.81;20
II;1;9;0.86;0.98;0.39;3
II;1;10;0.31;1.29;1.14;21
II;1;11;0.15;0.88;0.78;23
II;1;12;0.27;0.25;0.83;23
II;1;13;0.53;0.63;0.39;12
II;1;14;0.34;1.12;0.87;20
II;1;15;0.38;0.34;0.06;4
II;1;16;1.40;0.21;0.41;5
II;1;17;1.42;1.36;1.13;18
II;1;18;0.30;0.95;0.68;9
II;1;19;1.37;1.04;0.82;22
II;1;20;0.03;0.48;0.42;11
II;1;21;1.20;1.05;0.98;12
II;1;22;1.06;0.88;0.98;9
II;1;23;0.33;0.16;0.11;6
II;1;24;0.39;1.08;1.19;31
II;1;25;1.43;0.95;1.26;22
II;1;26;0.48;0.25;1.04;7
II;1;27;0.86;0.30;0.97;4
II;1;28;1.22;1.40;1.20;29
II;1;29;0.43;0.58;0.89;11
II;1;30;;0.73;1.33;24
II;1;31;;1.30;1.26;14
II;1;32;;0.57;0.55;14
II;2;1;1.30;0.96;0.93;16
II;2;2;1.75;2.08;1.43;25
II;2;3;1.59;0.68;0.79;10
II;2;4;1.52;1.39;0.86;38
II;2;5;0.47;0.50;0.58;6
II;2;6;0.04;0.72;0.63;16
II;2;7;;0.19;0.43;13
II;2;8;;1.91;1.21;24
II;2;9;;0.88;0.48;13
II;2;10;;0.48;0.59;19
II;2;11;;0.12;0.14;1